date;AAPL;MSFT;GE;PG;GS
2001-01-02;1.0;1.0;0.912647;1.000797;0.937463
2001-01-03;1.10084;1.105187;0.9973926624789999;0.9513946576889999;1.0800698715600001
2001-01-04;1.1470587674;1.1167141004099999;1.0026080287111026;0.9219128400365332;1.0543534079181565
2001-01-05;1.1008403284851518;1.1325647403512193;0.9869623304230658;0.9553791980426993;1.0087663296199991
2001-01-08;1.1134449502463066;1.1282417407372989;0.9504565677453775;0.9760965959522552;0.994739433806633
2001-01-09;1.1554619088888012;1.1945236865221338;0.9308999734074486;0.9513954954950874;0.979543794215803
2001-01-10;1.113444692033969;1.2190197837616432;0.9322041642701924;0.9410367013401368;1.0146114620487288
2001-01-11;1.210083897189673;1.2680109698512398;0.9713175865946411;0.9274904780243455;1.0333137951286728
2001-01-12;1.1554619201544283;1.233428506670487;0.9530645865073546;0.8964149095581397;1.01694920455522
2001-01-16;1.151260660612747;1.2118151389481002;0.9882669800745904;0.917131954532938;1.0286380187123776
2001-01-17;1.1302524560778855;1.220460228149356;0.9739252496597479;0.8992836495657726;1.0286380187123776
2001-01-18;1.2563027309895156;1.2795378259531536;0.9934816686729158;0.9072917704651557;1.0063824065395166
2001-01-19;1.3109242611274776;1.4063387449672853;0.9804442087349211;0.8960803660575178;1.0385634967534307
2001-01-22;1.2941169011755622;1.3861662220094746;0.9543683145594072;0.8856697043646616;1.0590418917824147
2001-01-23;1.3781503821533974;1.3962533536070376;0.9739252300613586;0.8896738170980942;1.085956382420173
2001-01-24;1.3781503821533974;1.4510088251220912;0.9661026626135056;0.8960803582550176;1.1035097813856127
2001-01-25;1.3403353138174903;1.4250720423730339;0.958280129354324;0.8960803582550176;1.06313787603362
2001-01-26;1.3151249468998971;1.475503916880573;0.9309011077785416;0.8872718883333708;1.0736693198336091
2001-01-29;1.4579817093818455;1.4870320289831611;0.9257904606968375;0.8565217064994011;1.0851135611137155
2001-01-30;1.4621836126682841;1.4610952163336368;0.9647995675487594;0.9109750739901005;1.1104835161725541
2001-01-31;1.4537804434462795;1.4077813129848387;0.9591670676734098;0.9204565025601894;1.0648915049325738
2001-02-01;1.4201675858133582;1.4380401645261347;0.96438205902035;0.9474912304968848;1.106551125497041
2001-02-02;1.3865536392247417;1.402017258404755;0.9654255204082101;0.9450571255257383;1.0668580300743367
2001-02-05;1.3571420634295066;1.427954577685243;0.9981766157625382;0.9526166374728188;1.0494447733074634
2001-02-06;1.420167740855173;1.4423640673286648;0.9929611429451789;0.9496701942131154;1.0199553751775237
2001-02-07;1.394956923119512;1.4913554052395501;0.9794022585382625;0.9633796331367758;0.9848485111639133
2001-02-08;1.394956923119512;1.4351596422147186;0.9833658994785667;0.9596638778917672;0.9918694962000008
2001-02-09;1.2857136615992537;1.3631131930158975;0.9524921436985376;0.960817393872993;1.0087203670709426
2001-02-12;1.323529071814211;1.3544683291457909;0.9910842678847712;0.9622269129898048;1.0251029945525416
2001-02-13;1.2857145227034072;1.341500649362549;0.9837829500832641;0.9551795630790675;0.9914006834006377
2001-02-14;1.3109248130645756;1.3458229644547952;0.9650084362638751;0.9441606116393874;0.9759536693525724
2001-02-15;1.3487397502222362;1.355909907573384;1.000888414932602;0.9463387901704395;1.0035702303342422
2001-02-16;1.2773104930504666;1.3213274253807248;0.9804452690576037;0.958894813238421;0.9502083940469098
2001-02-20;1.2310922901699286;1.2881858908973254;0.9948391860526383;0.9700419654423176;0.89871945179869
2001-02-21;1.2689077520470784;1.2968309064111372;0.9867033911890998;0.9840076596187907;0.8837404946955612
2001-02-22;1.2647063984800506;1.2723350674199372;0.9825316092511522;0.9750384298013655;0.9099531215087261
2001-02-23;1.2647063984800506;1.3083586901837978;0.9633398193276494;0.9613293894783583;0.899093740956641
2001-02-26;1.310925093812504;1.373200946869307;1.0008888788054024;0.911103774195672;0.9202512148688328
2001-02-27;1.3025220639611659;1.3688781102885623;1.0013062494678642;0.9058503498336598;0.9206257571132844
2001-02-28;1.2268911203172608;1.3602322761439798;0.9700154291719935;0.9032876991939803;0.8589327838776091
2001-03-01;1.2605042563405926;1.368517450937973;0.9577078734066592;0.8795845266794311;0.8576220524494118
2001-03-02;1.2941181233444272;1.3069177434363528;0.9297542959976657;0.8923974344795703;0.8556563827051978
2001-03-05;1.3697489747089224;1.324208265182016;0.9437312923293987;0.8989315684948298;0.8626778989816767
2001-03-06;1.4453796643474757;1.3703185211839188;0.950848913736147;0.8847095721496732;0.8926352517017144
2001-03-07;1.4285727896104432;1.399137690002938;0.9625719299936;0.8779185414738523;0.8888906468208257
2001-03-08;1.3991613330179433;1.3659963155398385;0.9602694579370553;0.909693925163957;0.8589332542416702
2001-03-09;1.3613461996704674;1.3069183408890561;0.9171437565811021;0.8858626734064368;0.8144654207363247
2001-03-12;1.2521022511855115;1.1974077323509393;0.829008993004928;0.8744598490743491;0.7722443477907743
2001-03-13;1.3151280701011854;1.2492806327241144;0.8861608729826878;0.8730502197976413;0.8192400498199297
2001-03-14;1.3739511184206714;1.2449581217348888;0.8589459864125164;0.8533184117799948;0.7855381526504375
2001-03-15;1.3235312342279881;1.2377535490844092;0.8599930415699534;0.8320494503663785;0.823359458086098
2001-03-16;1.3193290225593142;1.2579264564273867;0.8499440228792086;0.8289741955978243;0.8196148192707224
2001-03-19;1.3823546892959953;1.2521626374040364;0.8604110835209661;0.8443491800035772;0.8513511246877041
2001-03-20;1.3235313502023829;1.214699183455545;0.838430161570256;0.8443491800035772;0.8150273776017786
